step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
64,280.27,-0.0,0.0002,0.0625,0.1767766922712326,0.5,96.5,0.4623180478811264,6.818946361541748,,
65,295.86,0.0,0.0002,0.0,0.0,1.0,104.5,0.17738035321235657,8.521507501602173,30.17534828186035,
66,315.05,0.0,0.0002,0.0,0.0,1.0,128.0,0.22301621735095978,7.950831174850464,,
67,330.22,0.0,0.0002,0.0,0.0,1.0,101.0,0.31426842510700226,7.386694669723511,,
68,345.5,0.0,0.0002,0.0,0.0,1.0,102.0,0.9733205735683441,5.305268287658691,,
69,361.48,0.0,0.0002,0.0,0.0,1.0,107.0,1.521985411643982,5.108617305755615,,
70,380.75,0.0,0.0002,0.0,0.0,1.0,128.0,1.5721009373664856,4.290283203125,30.597139358520508,
71,394.71,0.0,0.0002,0.0,0.0,1.0,92.5,1.3098021745681763,3.981239080429077,,
72,409.4,0.0,0.0002,0.0,0.0,1.0,97.5,2.3505319356918335,5.477517366409302,,
73,428.62,0.0,0.0002,0.0,0.0,1.0,128.0,1.7981723546981812,3.481131076812744,,
74,447.8,0.0,0.0002,0.0,0.0,1.0,128.0,3.1687957048416138,5.382205009460449,,
75,463.63,0.0,0.0002,0.0,0.0,1.0,104.0,3.0736669301986694,5.273252248764038,30.889596939086914,
76,477.53,0.0,0.0002,0.0,0.0,1.0,89.0,4.7713987827301025,7.88619327545166,,
77,496.64,0.0,0.0002,0.0,0.0,1.0,128.0,3.8311678171157837,5.567725896835327,,
78,512.34,0.0,0.0002,0.0,0.0,1.0,105.5,4.816420197486877,6.70293664932251,,
79,531.34,0.0,0.0002,0.0,0.0,1.0,128.0,5.4995880126953125,6.784144401550293,,
80,544.75,0.0,0.0002,0.0,0.0,1.0,89.0,3.8957772254943848,5.463330030441284,31.088712692260742,0.0
81,551.57,0.0,0.0002,0.0,0.0,1.0,42.0,2.764976739883423,4.6715086698532104,,
82,556.37,0.0,0.0002,0.0,0.0,1.0,28.0,2.8508639335632324,4.890047669410706,,
83,569.55,0.0,0.0002,0.0,0.0,1.0,87.0,6.285393476486206,7.154639959335327,,
84,579.17,0.0,0.0002,0.0,0.0,1.0,62.0,6.873323678970337,8.043865203857422,,
85,583.68,0.0,0.0002,0.0,0.0,1.0,25.5,6.98512601852417,8.284490585327148,31.220848083496094,
86,594.19,0.0,0.0002,0.0,0.0,1.0,67.5,7.366373777389526,8.124950885772705,,
87,595.67,0.0,0.0002,0.0,0.0,1.0,4.0,0.028101205825805664,2.440345048904419,,
88,600.01,0.0,0.0002,0.0,0.0,1.0,24.5,6.943225860595703,8.260497570037842,,
89,607.66,0.0,0.0002,0.0,0.0,1.0,48.0,7.358405828475952,7.945023536682129,,
90,618.79,0.0,0.0002,0.0,0.0,1.0,72.5,7.611269235610962,7.74916410446167,31.293006896972656,
91,621.34,0.0,0.0002,0.0,0.0,1.0,11.5,3.4477218091487885,5.22769832611084,,
92,625.18,0.0,0.0002,0.0,0.0,1.0,21.0,4.0628814697265625,5.3861470222473145,,
93,627.1,0.0,0.0002,0.0,0.0,1.0,7.0,1.907036542892456,5.090490818023682,,
94,628.57,0.0,0.0002,0.0,0.0,1.0,4.0,0.09360206127166748,2.550366520881653,,
95,632.42,0.0,0.0002,0.0,0.0,1.0,21.0,4.095807313919067,5.350713729858398,31.34160041809082,
96,633.91,0.0,0.0002,0.0,0.0,1.0,4.0,0.014743328094482422,2.5858311653137207,,
97,641.18,0.0,0.0002,0.0,0.0,1.0,45.0,4.066895008087158,5.10772705078125,,
98,646.38,0.0,0.0002,0.0,0.0,1.0,30.0,4.2129106521606445,5.197480201721191,,
