step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
80,288.73,0.0165,0.0002,3.0,0.0,1.0,17.0,0.0013339659781195223,0.41222432255744934,27.925813674926758,0.78125
81,291.6,0.0243,0.0002,2.25,0.4629100561141968,0.5,17.0,0.018524954735767096,0.6081614345312119,,
82,294.48,0.0274,0.0002,2.375,0.5175491571426392,0.5,17.0625,0.04243551380932331,0.6842082440853119,,
83,297.27,0.0169,0.0002,2.5,0.5345224738121033,0.5,17.0,0.033727057510986924,0.422708123922348,,
84,300.15,0.0183,0.0002,2.25,0.4629100561141968,0.5,17.0,0.022337463917210698,0.45629335939884186,,
85,302.92,0.0159,0.0002,3.0,0.0,1.0,17.0,0.00559363653883338,0.39764009416103363,27.985206604003906,
86,305.67,0.0276,0.0002,2.0,0.0,1.0,16.5,0.08575834333896637,0.6903388202190399,,
87,308.6,0.0379,0.0002,2.0,0.0,1.0,17.0625,0.048605398274958134,0.9485650062561035,,
88,311.37,0.02,0.0002,2.75,0.4629100561141968,0.5,17.0,0.028822940308600664,0.4996010810136795,,
89,314.2,0.0273,0.0002,1.75,1.0350983142852783,0.0,17.0,0.04322936199605465,0.681625097990036,,
90,316.98,0.0413,0.0002,2.875,0.3535533845424652,0.5,16.9375,0.06743763759732246,1.0314366966485977,28.00712013244629,
91,319.85,0.0151,0.0002,3.0,0.0,1.0,17.0625,0.016697488725185394,0.3780658543109894,,
92,322.63,0.0211,0.0002,3.0,0.0,1.0,16.5625,0.06156856194138527,0.5284498482942581,,
93,325.57,0.0165,0.0002,3.0,0.0,1.0,17.3125,0.09717841073870659,0.41153116524219513,,
94,328.58,0.0254,0.0002,2.0,0.0,1.0,17.375,0.12330635637044907,0.6357665061950684,,
95,331.44,0.0125,0.0002,3.0,0.0,1.0,17.375,0.15765263512730598,0.3115337938070297,28.016008377075195,
96,334.42,0.0236,0.0002,3.0,0.0,1.0,17.875,0.17542708292603493,0.5889444351196289,,
97,337.59,0.024,0.0002,2.0,0.0,1.0,18.375,0.23751593381166458,0.6007828116416931,,
98,340.53,0.0118,0.0002,3.0,0.0,1.0,17.75,0.20954473316669464,0.2959646135568619,,
99,343.56,0.0163,0.0002,2.84375,0.35197147727012634,0.5,17.8125,0.2347784861922264,0.40753938257694244,,
100,346.82,0.0197,0.0002,3.0,0.0,1.0,18.6875,0.2805785983800888,0.49330344796180725,28.03350067138672,0.859375
101,352.27,0.0184,0.0002,2.875,0.3535533845424652,0.5,20.875,0.5117267817258835,0.4608951061964035,,
102,355.24,0.0184,0.0002,3.0,0.0,1.0,17.9375,0.22858109325170517,0.4591808617115021,,
103,359.63,0.0233,0.0002,2.84375,0.4419417306780815,0.0,19.4375,0.35036391019821167,0.5820233821868896,,
104,362.59,0.0232,0.0002,3.0,0.0,1.0,17.25,0.2800339162349701,0.5801176130771637,,
105,365.84,0.0261,0.0002,1.875,0.9804592132568359,0.0,17.875,0.2923825830221176,0.651809960603714,28.114261627197266,
106,368.86,0.0217,0.0002,2.875,0.3535533845424652,0.5,17.625,0.320176437497139,0.5434462428092957,,
107,371.87,0.0189,0.0002,2.75,0.4629100561141968,0.5,17.6875,0.2848541736602783,0.47329308092594147,,
108,374.82,0.0254,0.0002,2.3125,0.5690407976508141,0.0,16.9375,0.3454275280237198,0.6339727640151978,,
109,377.96,0.0262,0.0002,2.375,1.1535418033599854,0.0,17.375,0.36662936210632324,0.6561150252819061,,
110,380.94,0.0226,0.0002,2.0,0.0,1.0,17.5625,0.23265467584133148,0.5650029331445694,28.22962188720703,
111,383.98,0.0147,0.0002,2.75,0.4629100561141968,0.5,18.0625,0.1905638873577118,0.367951862514019,,
112,387.04,0.0112,0.0002,2.9375,0.1767766922712326,0.0,18.0625,0.2440335601568222,0.2810076028108597,,
113,390.45,0.0106,0.0002,2.875,0.3535533845424652,0.5,19.375,0.19301988556981087,0.26480036973953247,,
114,393.73,0.0214,0.0002,2.75,0.7071067690849304,0.0,18.6875,0.18548987060785294,0.5361477583646774,,
115,397.07,0.0317,0.0002,2.125,0.3535533845424652,0.5,18.8125,0.2586183547973633,0.7923464477062225,28.445148468017578,
116,400.46,0.0124,0.0002,2.0,0.0,1.0,19.75,0.21163181960582733,0.3106381297111511,,
117,403.7,0.015,0.0002,2.25,0.4629100561141968,0.5,20.0,0.18498816341161728,0.3755316585302353,,
118,407.18,0.0097,0.0002,3.0,0.0,1.0,20.5625,0.25401751697063446,0.24182918667793274,,
119,410.83,0.0171,0.0002,2.8125,0.5303300619125366,0.5,21.4375,0.24994471669197083,0.4268014430999756,,
120,414.36,0.028,0.0002,2.625,0.5175491571426392,0.5,21.5,0.3063995987176895,0.6997554004192352,28.554983139038086,0.8125
121,418.09,0.0166,0.0002,3.0,0.0,1.0,21.1875,0.19165586680173874,0.4154917448759079,,
122,421.64,0.0156,0.0002,2.5,0.5345224738121033,0.5,22.4375,0.25403202325105667,0.3910403251647949,,
123,425.91,0.0156,0.0002,2.875,0.3535533845424652,0.5,23.8125,0.2968345880508423,0.38988935947418213,,
